modelName,modelSeed,trainingSeed,seed,learning_rate,num_trials,num_epochs,num_timeSteps,num_batches,size_layer_message,size_layer_hidden,size_layer_phonology
190421296,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,100,18
494121373,9021093912,927986397102,896575376869,0.005,20000,100,1,3,40,100,18
749391364,9021093912,927986397102,896575376869,0.005,20000,100,1,5,40,100,18
533332154,9021093912,927986397102,896575376869,0.005,20000,100,2,1,40,100,18
880531695,9021093912,927986397102,896575376869,0.005,20000,100,2,3,40,100,18
288271949,9021093912,927986397102,896575376869,0.005,20000,100,2,5,40,100,18
383808281,9021093912,927986397102,896575376869,0.005,20000,100,2,10,40,100,18
843508036,9021093912,927986397102,896575376869,0.005,20000,100,3,1,40,100,18
768489071,9021093912,927986397102,896575376869,0.005,20000,100,3,3,40,100,18
413487041,9021093912,927986397102,896575376869,0.005,20000,100,3,5,40,100,18
253966923,9021093912,927986397102,896575376869,0.005,20000,100,3,10,40,100,18
470505021,9021093912,927986397102,896575376869,0.005,20000,100,4,1,40,100,18
741329916,9021093912,927986397102,896575376869,0.005,20000,100,4,3,40,100,18
206265802,9021093912,927986397102,896575376869,0.005,20000,100,4,5,40,100,18
441087100,9021093912,927986397102,896575376869,0.005,20000,100,4,10,40,100,18
893125339,9021093912,927986397102,896575376869,0.005,20000,100,5,1,40,100,18
403017749,9021093912,927986397102,896575376869,0.005,20000,100,5,3,40,100,18
129241798,9021093912,927986397102,896575376869,0.005,20000,100,5,5,40,100,18
488300356,9021093912,927986397102,896575376869,0.005,20000,100,5,10,40,100,18
487073325,9021093912,927986397102,896575376869,0.005,20000,100,6,1,40,100,18
270362516,9021093912,927986397102,896575376869,0.005,20000,100,6,3,40,100,18
544458875,9021093912,927986397102,896575376869,0.005,20000,100,6,5,40,100,18
945485337,9021093912,927986397102,896575376869,0.005,20000,100,6,10,40,100,18
526815268,9021093912,927986397102,896575376869,0.005,20000,100,10,1,40,100,18
490776467,9021093912,927986397102,896575376869,0.005,20000,100,10,3,40,100,18
466446726,9021093912,927986397102,896575376869,0.005,20000,100,10,5,40,100,18
699540821,9021093912,927986397102,896575376869,0.005,20000,100,10,10,40,100,18
