numWords,train,condition,image1,label1,phonemes1,image2,label2,phonemes2
1,train,ambiguous,0,artificial_11-2-11,11_2_11,None,None,None
1,train,ambiguous,0,artificial_8-15-7,8_15_7,None,None,None
1,train,ambiguous,1,artificial_7-6-15,7_6_15,None,None,None
1,train,ambiguous,1,artificial_13-10-9,13_10_9,None,None,None
1,train,ambiguous,2,artificial_9-6-15,9_6_15,None,None,None
1,train,ambiguous,2,artificial_1-17-11,1_17_11,None,None,None
1,train,ambiguous,3,artificial_9-8-16,9_8_16,None,None,None
1,train,ambiguous,3,artificial_0-10-1,0_10_1,None,None,None
1,train,ambiguous,4,artificial_10-10-11,10_10_11,None,None,None
1,train,ambiguous,4,artificial_16-5-14,16_5_14,None,None,None
1,train,ambiguous,5,artificial_1-14-12,1_14_12,None,None,None
1,train,ambiguous,5,artificial_8-3-9,8_3_9,None,None,None
1,train,ambiguous,6,artificial_8-0-13,8_0_13,None,None,None
1,train,ambiguous,6,artificial_16-10-16,16_10_16,None,None,None
1,train,ambiguous,7,artificial_12-12-12,12_12_12,None,None,None
1,train,ambiguous,7,artificial_6-11-4,6_11_4,None,None,None
1,train,ambiguous,8,artificial_3-12-2,3_12_2,None,None,None
1,train,ambiguous,8,artificial_4-7-1,4_7_1,None,None,None
1,train,ambiguous,9,artificial_9-5-0,9_5_0,None,None,None
1,train,ambiguous,9,artificial_17-1-10,17_1_10,None,None,None
1,train,unambiguous,10,artificial_11-2-17,11_2_17,None,None,None
1,train,unambiguous,11,artificial_8-15-4,8_15_4,None,None,None
1,train,unambiguous,12,artificial_7-6-17,7_6_17,None,None,None
1,train,unambiguous,13,artificial_13-10-2,13_10_2,None,None,None
1,train,unambiguous,14,artificial_9-6-16,9_6_16,None,None,None
1,train,unambiguous,15,artificial_1-17-0,1_17_0,None,None,None
1,train,unambiguous,16,artificial_9-8-6,9_8_6,None,None,None
1,train,unambiguous,17,artificial_0-10-7,0_10_7,None,None,None
1,train,unambiguous,18,artificial_10-10-13,10_10_13,None,None,None
1,train,unambiguous,19,artificial_16-5-4,16_5_4,None,None,None
1,train,unambiguous,20,artificial_1-14-17,1_14_17,None,None,None
1,train,unambiguous,21,artificial_8-3-4,8_3_4,None,None,None
1,train,unambiguous,22,artificial_8-0-14,8_0_14,None,None,None
1,train,unambiguous,23,artificial_16-10-17,16_10_17,None,None,None
1,train,unambiguous,24,artificial_12-12-14,12_12_14,None,None,None
1,train,unambiguous,25,artificial_6-11-17,6_11_17,None,None,None
1,train,unambiguous,26,artificial_3-12-13,3_12_13,None,None,None
1,train,unambiguous,27,artificial_4-7-11,4_7_11,None,None,None
1,train,unambiguous,28,artificial_9-5-2,9_5_2,None,None,None
1,train,unambiguous,29,artificial_17-1-14,17_1_14,None,None,None
2,train,noninterfering,0,artificial_8-15-4,8_15_4,2,artificial_1-17-11,8_15_4
2,train,noninterfering,4,artificial_10-10-13,10_10_13,8,artificial_4-7-1,10_10_13
2,train,noninterfering,1,artificial_13-10-2,13_10_2,6,artificial_16-10-16,13_10_2
2,train,noninterfering,2,artificial_9-6-16,9_6_16,8,artificial_3-12-2,9_6_16
2,train,noninterfering,0,artificial_11-2-17,11_2_17,9,artificial_9-5-0,11_2_17
2,train,noninterfering,8,artificial_4-7-11,4_7_11,9,artificial_17-1-10,4_7_11
2,train,noninterfering,1,artificial_7-6-17,7_6_17,5,artificial_8-3-9,7_6_17
2,train,noninterfering,3,artificial_0-10-7,0_10_7,0,artificial_8-15-7,0_10_7
2,train,noninterfering,6,artificial_16-10-17,16_10_17,2,artificial_9-6-15,16_10_17
2,train,noninterfering,3,artificial_0-10-7,0_10_7,5,artificial_1-14-12,0_10_7
2,train,noninterfering,6,artificial_16-10-17,16_10_17,8,artificial_3-12-2,16_10_17
2,train,noninterfering,0,artificial_11-2-17,11_2_17,7,artificial_12-12-12,11_2_17
2,train,noninterfering,5,artificial_1-14-17,1_14_17,8,artificial_4-7-1,1_14_17
2,train,noninterfering,8,artificial_4-7-11,4_7_11,0,artificial_8-15-7,4_7_11
2,train,noninterfering,6,artificial_8-0-14,8_0_14,0,artificial_11-2-11,8_0_14
2,train,noninterfering,5,artificial_8-3-4,8_3_4,3,artificial_9-8-16,8_3_4
2,train,noninterfering,0,artificial_11-2-17,11_2_17,5,artificial_8-3-9,11_2_17
2,train,noninterfering,1,artificial_13-10-2,13_10_2,6,artificial_8-0-13,13_10_2
2,train,noninterfering,8,artificial_3-12-13,3_12_13,3,artificial_9-8-16,3_12_13
2,train,noninterfering,1,artificial_13-10-2,13_10_2,5,artificial_8-3-9,13_10_2
2,train,noninterfering,4,artificial_10-10-13,10_10_13,6,artificial_16-10-16,10_10_13
2,train,noninterfering,6,artificial_16-10-17,16_10_17,4,artificial_10-10-11,16_10_17
2,train,noninterfering,9,artificial_17-1-14,17_1_14,1,artificial_7-6-15,17_1_14
